"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260113,2026-01-13,090741,CME ,00,090 ,  219263,   71205,   32900,     133,   71451,   63407,    7194,   22400,   78099,    5856,   12915,       0,       0,  191154,  187589,   28109,   31674,     523,   -5295,  -10534,     111,     392,    1675,     597,    6370,    4973,     674,     978,   -1757,       0,    3827,   -4261,   -3304,    4784,  100.0,   32.5,   15.0,    0.1,   32.6,   28.9,    3.3,   10.2,   35.6,    2.7,    5.9,    0.0,    0.0,   87.2,   85.6,   12.8,   14.4,    120,      8,      8,.,     19,     18,      9,     24,     32,     10,     11,      0,      0,     75,     65,    46.8,    35.6,    57.6,    49.1,    46.8,    35.6,    56.1,    48.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260106,2026-01-06,090741,CME ,00,090 ,  218740,   76500,   43434,      22,   71059,   61732,    6597,   16030,   73126,    5182,   11937,    1757,       0,  187327,  191850,   31413,   26890,    7569,    1541,   -1080,       0,    -711,     945,    1389,    1716,     134,    3919,   -1516,    1131,       0,    6338,    6438,    1231,    1131,  100.0,   35.0,   19.9,    0.0,   32.5,   28.2,    3.0,    7.3,   33.4,    2.4,    5.5,    0.8,    0.0,   85.6,   87.7,   14.4,   12.3,    122,     11,      7,.,     21,     17,      6,     20,     33,     10,     10,.,      0,     74,     65,    46.8,    35.3,    57.9,    47.7,    46.8,    35.3,    57.1,    46.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",260505,2026-05-05,092741,CME ,00,092 ,   94468,   65311,   12450,      34,    5670,   43283,    1719,    6389,   13023,     226,    1000,    1274,    3101,   83450,   75110,   11018,   19358,     357,    3256,      79,      29,    -333,    -254,      61,    -718,     742,      -1,       0,     806,       5,    2299,    1467,   -1942,   -1110,  100.0,   69.1,   13.2,    0.0,    6.0,   45.8,    1.8,    6.8,   13.8,    0.2,    1.1,    1.3,    3.3,   88.3,   79.5,   11.7,   20.5,     47,      7,      5,.,      4,     12,.,      8,      7,.,.,.,.,     27,     27,    66.4,    50.0,    76.8,    65.1,    66.4,    50.0,    74.8,    61.9,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",260428,2026-04-28,092741,CME ,00,092 ,   94111,   62055,   12371,       5,    6003,   43537,    1658,    7107,   12281,     227,    1000,     468,    3096,   81151,   73643,   12960,   20468,    2579,    1930,    2283,     -10,    -184,    -117,     -15,   -1175,     233,      -9,       0,    -354,     241,     778,    2252,    1801,     327,  100.0,   65.9,   13.1,    0.0,    6.4,   46.3,    1.8,    7.6,   13.0,    0.2,    1.1,    0.5,    3.3,   86.2,   78.3,   13.8,   21.7,     46,      5,      4,.,      4,     13,.,      8,      9,.,.,.,.,     24,     28,    66.9,    48.6,    74.7,    63.2,    66.9,    48.6,    72.6,    60.1,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",260421,2026-04-21,092741,CME ,00,092 ,   91532,   60125,   10088,      15,    6187,   43654,    1673,    8282,   12048,     236,    1000,     822,    2855,   80373,   71391,   11159,   20141,   -1844,   -1046,    -486,      10,    -106,   -4204,      79,    -546,    -201,      -4,       0,     822,     121,   -1492,   -3863,    -352,    2019,  100.0,   65.7,   11.0,    0.0,    6.8,   47.7,    1.8,    9.0,   13.2,    0.3,    1.1,    0.9,    3.1,   87.8,   78.0,   12.2,   22.0,     47,      6,      4,.,      4,     11,.,      9,     10,.,.,.,.,     27,     27,    66.1,    47.3,    74.1,    62.1,    66.1,    47.0,    72.5,    59.4,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",260414,2026-04-14,092741,CME ,00,092 ,   93376,   61171,   10574,       5,    6293,   47858,    1594,    8828,   12249,     240,    1000,       0,    2734,   81865,   75254,   11511,   18122,    6730,    5934,    4951,       0,     501,     -24,     -16,   -1162,    2162,       9,       0,    -435,    1430,    6696,    8077,      34,   -1347,  100.0,   65.5,   11.3,    0.0,    6.7,   51.3,    1.7,    9.5,   13.1,    0.3,    1.1,    0.0,    2.9,   87.7,   80.6,   12.3,   19.4,     46,      6,      4,.,      4,     11,.,      9,     10,.,.,      0,.,     26,     26,    66.2,    48.0,    74.9,    64.0,    66.2,    46.7,    73.6,    62.4,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",260407,2026-04-07,092741,CME ,00,092 ,   86646,   55237,    5623,       5,    5792,   47882,    1610,    9990,   10087,     231,    1000,     435,    1304,   75169,   67177,   11477,   19469,    6906,    6807,     843,      -1,      34,    2316,     170,    -705,     882,    -223,       0,     -33,    1304,    7386,    5258,    -480,    1648,  100.0,   63.8,    6.5,    0.0,    6.7,   55.3,    1.9,   11.5,   11.6,    0.3,    1.2,    0.5,    1.5,   86.8,   77.5,   13.2,   22.5,     44,      6,      4,.,      4,     10,.,     10,      7,.,.,.,.,     28,     23,    64.2,    48.7,    72.1,    63.7,    64.2,    47.0,    71.9,    62.0,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",260331,2026-03-31,092741,CME ,00,092 ,   79740,   48430,    4780,       6,    5758,   45566,    1440,   10695,    9205,     454,    1000,     468,       0,   67783,   61919,   11957,   17821,    3222,    1242,   -1504,       0,     217,    3029,     -27,    2745,    1490,    -278,       0,    -408,       0,    3899,    2302,    -677,     920,  100.0,   60.7,    6.0,    0.0,    7.2,   57.1,    1.8,   13.4,   11.5,    0.6,    1.3,    0.6,    0.0,   85.0,   77.7,   15.0,   22.3,     45,      4,      5,.,      4,     11,.,     11,      8,.,.,.,      0,     26,     25,    64.0,    49.1,    71.2,    64.0,    64.0,    47.3,    71.1,    62.2,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",260324,2026-03-24,092741,CME ,00,092 ,   76518,   47188,    6284,       6,    5541,   42537,    1467,    7950,    7715,     732,    1000,     876,       0,   63884,   59617,   12634,   16901,    2417,    1418,   -1055,       1,     -74,    2275,    -202,     592,     870,     523,       0,     -32,       0,    2258,    2380,     159,      37,  100.0,   61.7,    8.2,    0.0,    7.2,   55.6,    1.9,   10.4,   10.1,    1.0,    1.3,    1.1,    0.0,   83.5,   77.9,   16.5,   22.1,     43,      4,.,.,      4,     10,.,     11,      8,      4,.,.,      0,     25,     25,    65.8,    48.5,    72.7,    64.8,    65.8,    46.6,    72.1,    62.9,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",260317,2026-03-17,092741,CME ,00,092 ,   74101,   45770,    7339,       5,    5615,   40262,    1669,    7358,    6845,     209,    1000,     908,       0,   61626,   57237,   12475,   16864,  -36796,  -14271,     738,  -15364,    -273,  -19989,     -43,   -3392,     375,   -1416,       0,     440,    -160,  -34919,  -35419,   -1877,   -1377,  100.0,   61.8,    9.9,    0.0,    7.6,   54.3,    2.3,    9.9,    9.2,    0.3,    1.3,    1.2,    0.0,   83.2,   77.2,   16.8,   22.8,     42,      4,      4,.,      5,      9,.,     10,      7,.,.,.,      0,     24,     25,    66.0,    47.4,    72.4,    64.7,    66.0,    45.6,    71.9,    62.9,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",260310,2026-03-10,092741,CME ,00,092 ,  110897,   60041,    6601,   15369,    5888,   60251,    1712,   10750,    6470,    1625,    1000,     468,     160,   96545,   92656,   14352,   18241,    5484,    -771,   -1711,   10863,     536,     372,      96,    -684,    -508,   -3711,       0,    -964,     160,    6489,    4597,   -1005,     887,  100.0,   54.1,    6.0,   13.9,    5.3,   54.3,    1.5,    9.7,    5.8,    1.5,    0.9,    0.4,    0.1,   87.1,   83.6,   12.9,   16.4,     42,      6,      5,      8,      6,      7,      4,      9,      7,      5,.,.,.,     30,     30,    62.2,    52.6,    72.0,    67.9,    54.0,    50.8,    61.0,    61.7,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
